Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
BBP;BioShares Biotechnology Products Fund;37.367;37367149.468;;;;;http://www.nasdaq.com/symbol/bbp
CTIB;CTI Industries Corporation;5.95;20969906.3;;1997;Basic Industries;Specialty Chemicals;http://www.nasdaq.com/symbol/ctib
SAMG;Silvercrest Asset Management Group Inc.;13.5;174696750.0;;2013;Finance;Investment Managers;http://www.nasdaq.com/symbol/samg
TXN;Texas Instruments Incorporated;80.59;80560966082.47;;;Technology;Semiconductors;http://www.nasdaq.com/symbol/txn
APPS;Digital Turbine, Inc.;0.92;61303285.519999996;;;Miscellaneous;Multi-Sector Companies;http://www.nasdaq.com/symbol/apps
FFBC;First Financial Bancorp.;26.65;1652238678.35;;;Finance;Major Banks;http://www.nasdaq.com/symbol/ffbc
TRMB;Trimble Inc.;31.32;7901525014.2;;1990;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/trmb
TSC;TriState Capital Holdings, Inc.;22.95;657261056.7;;2013;Finance;Major Banks;http://www.nasdaq.com/symbol/tsc
CHSCO;CHS Inc;28.76;325539473.0;;;Consumer Services;Farming/Seeds/Milling;http://www.nasdaq.com/symbol/chsco
BLDP;Ballard Power Systems, Inc.;2.24;391439171.2;;;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/bldp
DSKE;Daseke, Inc.;10.25;386588590.0;;2015;Finance;Business Services;http://www.nasdaq.com/symbol/dske
FGEN;FibroGen, Inc;24.8;1584433609.6;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/fgen
FNSR;Finisar Corporation;28.36;3158955795.92;;1999;Technology;Semiconductors;http://www.nasdaq.com/symbol/fnsr
WILC;G. Willi-Food International,  Ltd.;6.1;80769569.3;;;Consumer Non-Durables;Food Distributors;http://www.nasdaq.com/symbol/wilc
JIVE;Jive Software, Inc.;4.35;344404677.15;;2011;Technology;EDP Services;http://www.nasdaq.com/symbol/jive
MMSI;Merit Medical Systems, Inc.;28.725;1283423176.05;;;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/mmsi
RVNC;Revance Therapeutics, Inc.;19.65;576125266.8;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/rvnc
SGOC;SGOCO Group, Ltd;2.85;27297094.8;;2010;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/sgoc
VWR;VWR Corporation;27.31;3594926888.66;;2014;Consumer Durables;Diversified Electronic Products;http://www.nasdaq.com/symbol/vwr
DRRX;DURECT Corporation;0.9402;133407642.52679999;;2000;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/drrx
HRTX;Heron Therapeutics, Inc.;14.75;790224376.5;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/hrtx
AMKR;Amkor Technology, Inc.;10.95;2614733122.35;;1998;Technology;Semiconductors;http://www.nasdaq.com/symbol/amkr
QABA;First Trust NASDAQ ABA Community Bank Index Fund;49.09;446719098.18;;;;;http://www.nasdaq.com/symbol/qaba
IGLD;Internet Gold Golden Lines Ltd.;10.49;201441421.14000002;;1999;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/igld
PCTY;Paylocity Holding Corporation;35.02;1801337467.84;;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/pcty
SATS;EchoStar Corporation;55.18;5219700837.78;;;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/sats
EVGN;Evogene Ltd.;5.2097;132637966.94729999;;;Basic Industries;Agricultural Chemicals;http://www.nasdaq.com/symbol/evgn
SPRT;support.com, Inc.;2.13;39529093.8;;2000;Technology;EDP Services;http://www.nasdaq.com/symbol/sprt
VRNS;Varonis Systems, Inc.;30.95;830747427.15;;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/vrns
CVLY;Codorus Valley Bancorp, Inc;26.0;219212656.00000003;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/cvly
YLCO;Global X Yieldco Index ETF;11.33;2832500.0;;;;;http://www.nasdaq.com/symbol/ylco
OESX;Orion Energy Systems, Inc.;1.8900000000000001;53496671.129999995;;2015;Consumer Durables;Building Products;http://www.nasdaq.com/symbol/oesx
PSCC;PowerShares S&P SmallCap Consumer Staples Portfolio;67.83;64438500.0;;;;;http://www.nasdaq.com/symbol/pscc
VKTXW;Viking Therapeutics, Inc.;0.3694;0.0;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/vktxw
CRTN;Cartesian, Inc.;1.0727;9557140.1975;;;Consumer Services;Professional Services;http://www.nasdaq.com/symbol/crtn
CRIS;Curis, Inc.;2.96;419990480.96;;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/cris
COLB;Columbia Banking System, Inc.;37.72;2194140866.08;;1992;Finance;Major Banks;http://www.nasdaq.com/symbol/colb
ORIG;Ocean Rig UDW Inc.;0.7271000000000001;60048899.3621;;;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/orig
PIXY;ShiftPixy, Inc.;;0.0;;;;;http://www.nasdaq.com/symbol/pixy
MAR;Marriott International;93.5;35862993518.0;;;Consumer Services;Hotels/Resorts;http://www.nasdaq.com/symbol/mar
SCAC;Saban Capital Acquisition Corp.;10.0;250000000.0;;2016;Finance;Business Services;http://www.nasdaq.com/symbol/scac
AVGO;Broadcom Limited;218.97;87886339180.02;;2009;Technology;Semiconductors;http://www.nasdaq.com/symbol/avgo
PIRS;Pieris Pharmaceuticals, Inc.;2.66;114536479.82;;;Health Care;Biotechnology: Commercial Physical & Biological Resarch;http://www.nasdaq.com/symbol/pirs
RGLS;Regulus Therapeutics Inc.;1.4;74105367.0;;2012;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/rgls
CFNL;Cardinal Financial Corporation;28.79;952486287.12;;1998;Finance;Major Banks;http://www.nasdaq.com/symbol/cfnl
CATB;Catabasis Pharmaceuticals, Inc.;1.47;27780864.09;;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/catb
NBIX;Neurocrine Biosciences, Inc.;41.98;3657059993.2;;1996;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/nbix
JJSF;J & J Snack Foods Corp.;136.31;2550259912.15;;1986;Consumer Non-Durables;Specialty Foods;http://www.nasdaq.com/symbol/jjsf
OHAI;OHA Investment Corporation;1.48;29855140.160000004;;;;;http://www.nasdaq.com/symbol/ohai
