gross_profit_per_market_cap,stock_symbol,Sector,is_SP500,is_profitable_3yr,is_revenue_growth_3yr,analyst_rating
0.5516634894324833,EXPE,0,0,0,1,0
0.6380908879599165,WERN,3,0,1,1,1
0.07987309768714569,HCSG,3,0,1,1,0
-0.02370529880599138,DVAX,8,0,0,1,1
0.28141589815845325,DLTR,7,0,1,1,1
0.1830411170368794,MTSI,2,0,0,1,1
0.12015090998432104,SWKS,2,0,1,1,1
0.17449782255171892,IIVI,2,0,1,1,1
0.32276414600913594,CROX,0,0,0,1,1
1.3276139626583707,ACHC,8,0,0,1,1
0.44234733530418957,MLHR,3,0,1,1,1
0.20590583048525193,TRIP,0,0,0,1,0
0.159818090994571,FAST,3,0,1,1,0
0.24297024551220187,EWBC,4,0,1,1,0
0.011363276553532755,VRAY,8,0,0,1,1
0.009924623307604944,ALNY,8,0,0,1,0
0.07755895696023081,BMRN,8,0,0,1,0
0.027323143644363813,AGNC,9,0,0,0,1
0.024687055377319467,HRTX,8,0,0,0,1
0.007328283126390037,INSM,8,0,0,0,1
0.15476564079070362,LAMR,9,0,1,1,0
0.14070366333234813,EXEL,8,0,0,1,1
0.23974186715979318,HZNP,8,0,0,1,1
0.13185863757994623,ADI,2,0,1,1,1
0.6337584557391505,AKBA,8,0,0,0,1
0.04240225365123628,OLED,2,0,1,1,1
0.0015524873960733635,LBRDA,6,0,0,0,1
0.12628891018372623,SSNC,2,0,1,1,1
0.6688774061932606,CHTR,6,0,0,1,1
0.10454123264384335,ACAD,8,0,0,1,1
0.0,VOD,6,0,0,1,1
0.5484157911506132,EXTR,2,0,0,1,1
0.17487247623763064,FEYE,2,0,0,1,0
0.5470030011247271,VECO,2,0,0,0,1
0.281800894730649,ERIC,2,0,0,0,1
0.1148975269527874,MANH,2,0,1,1,1
0.5003226553341488,TILE,0,0,0,1,1
0.4267753809500008,CAKE,0,0,1,1,0
1.1456564210630416,CAR,3,0,0,1,0
0.08056648114734957,SPLK,2,0,0,1,1
0.05705701203152447,VRSN,2,0,1,1,0
-0.38569576299393166,PEIX,1,0,0,0,1
0.0,BZUN,0,0,1,1,0
0.46665681242842355,NWSA,0,0,0,1,0
0.009338066187597251,ARNA,8,0,0,0,1
0.16140761529781364,ULTA,0,0,1,1,1
0.1636089937316243,JACK,0,0,1,0,0
0.05718985040765119,CPRT,0,0,1,1,1
0.07744127839635971,CLVS,8,0,0,0,0
0.212178373524844,SBRA,9,0,1,0,0
0.09404575815272402,FISV,3,0,1,1,1
0.47100916585996666,SAVE,3,0,0,1,0
1.7635274064503244,DXLG,0,0,0,1,1
0.30940864559720893,ONB,4,0,1,0,0
0.2798122045521287,HDS,3,0,1,0,0
0.7501872019428899,NGHC,4,0,1,1,0
0.507376084881846,ATSG,3,0,1,1,1
1.3152939069009042,SPWH,0,0,1,1,1
0.18767988294284538,TWNK,7,0,0,0,1
0.8719369318378114,BMCH,5,0,0,1,1
0.08701353916769182,EQIX,2,0,1,1,1
0.19876059412248653,ORBC,6,0,0,1,1
0.16492971630237532,LIVN,8,0,0,1,1
0.14953934644311628,CTAS,0,0,1,1,0
0.4381284703173339,REGI,1,0,0,1,1
0.258534268697328,VRNT,2,0,0,0,1
0.2654965460740468,HAS,0,0,0,1,1
0.06701383095943078,HALO,8,0,0,0,1
0.07205641782257942,SGMO,8,0,0,1,1
0.11608396148254135,KTOS,3,0,0,0,1
0.15745385718369795,RYAAY,3,0,1,1,1
0.1213195546640473,ROIC,9,0,1,1,0
0.09834685939847641,MXIM,2,0,1,1,0
0.1331416498715647,CSOD,2,0,0,1,0
0.2522496338669016,SIVB,4,0,1,1,1
0.1354507907564298,FIVE,0,0,1,1,1
0.9676909936392221,LPLA,4,0,1,1,1
0.22601947599916614,SEIC,4,0,1,1,1
0.20145447486474435,FORM,2,0,0,1,1
0.10106251009115669,BRKS,2,0,1,1,1
0.1259453228206363,VNDA,8,0,0,1,0
0.06167151976997156,HTHT,0,0,1,1,0
0.6880763345324302,PENN,0,0,1,1,0
0.041741915932031,AMRN,8,0,0,1,1
0.08038788337007348,IONS,8,0,0,1,0
0.47093996529209214,NEOS,8,0,0,1,1
0.07614355886710583,SBAC,6,0,0,1,1
0.020321792379773888,BGNE,8,0,0,1,1
0.20048588471508538,WB,2,0,1,1,0
0.07618287937035079,BDSI,8,0,0,0,1
0.21121512215881522,THRM,0,0,0,1,0
0.3318708603398768,UMPQ,4,0,1,1,0
0.25143877900228956,PNFP,4,0,1,1,1
0.12864067545396607,GLPI,9,0,1,0,1
0.11086196403364071,CBOE,4,0,1,1,1
0.21650911317576382,RDNT,8,0,1,1,1
0.11719110204657268,LITE,2,0,0,1,1
0.1392483144492725,ROST,0,0,1,1,1
0.14158830805726502,PCRX,8,0,0,1,1
0.9161076046616079,CSIQ,2,0,1,1,1
0.37371812753094247,ICHR,2,0,0,0,1
